GameID,Date,AwayTeam,HomeTeam
717608,2023-06-27T01:38:00Z,Chicago White Sox,Los Angeles Angels
717602,2023-06-27T01:40:00Z,Washington Nationals,Seattle Mariners
717601,2023-06-27T23:05:00Z,Cincinnati Reds,Baltimore Orioles
717603,2023-06-27T23:05:00Z,San Diego Padres,Pittsburgh Pirates
717604,2023-06-27T23:07:00Z,San Francisco Giants,Toronto Blue Jays
717605,2023-06-27T23:10:00Z,Miami Marlins,Boston Red Sox
717597,2023-06-27T23:10:00Z,Milwaukee Brewers,New York Mets
717600,2023-06-27T23:20:00Z,Minnesota Twins,Atlanta Braves
717598,2023-06-27T23:45:00Z,Houston Astros,St. Louis Cardinals
717599,2023-06-28T00:05:00Z,Detroit Tigers,Texas Rangers
717596,2023-06-28T00:05:00Z,Philadelphia Phillies,Chicago Cubs
717591,2023-06-28T00:10:00Z,Cleveland Guardians,Kansas City Royals
717594,2023-06-28T00:40:00Z,Los Angeles Dodgers,Colorado Rockies
717592,2023-06-28T01:38:00Z,Chicago White Sox,Los Angeles Angels
717590,2023-06-28T01:40:00Z,Washington Nationals,Seattle Mariners
717593,2023-06-28T01:40:00Z,Tampa Bay Rays,Arizona Diamondbacks
717595,2023-06-28T01:40:00Z,New York Yankees,Oakland Athletics
717588,2023-06-28T16:20:00Z,Minnesota Twins,Atlanta Braves
717587,2023-06-28T20:10:00Z,Washington Nationals,Seattle Mariners
717589,2023-06-28T23:05:00Z,Cincinnati Reds,Baltimore Orioles
717585,2023-06-28T23:05:00Z,San Diego Padres,Pittsburgh Pirates
717586,2023-06-28T23:07:00Z,San Francisco Giants,Toronto Blue Jays
717583,2023-06-28T23:10:00Z,Miami Marlins,Boston Red Sox
717581,2023-06-28T23:10:00Z,Milwaukee Brewers,New York Mets
717582,2023-06-28T23:45:00Z,Houston Astros,St. Louis Cardinals
717580,2023-06-29T00:05:00Z,Detroit Tigers,Texas Rangers
717584,2023-06-29T00:05:00Z,Philadelphia Phillies,Chicago Cubs
717577,2023-06-29T00:10:00Z,Cleveland Guardians,Kansas City Royals
717578,2023-06-29T00:40:00Z,Los Angeles Dodgers,Colorado Rockies
717576,2023-06-29T01:38:00Z,Chicago White Sox,Los Angeles Angels
717575,2023-06-29T01:40:00Z,Tampa Bay Rays,Arizona Diamondbacks
717579,2023-06-29T01:40:00Z,New York Yankees,Oakland Athletics
717571,2023-06-29T16:35:00Z,San Diego Padres,Pittsburgh Pirates
717570,2023-06-29T18:05:00Z,Detroit Tigers,Texas Rangers
717573,2023-06-29T18:10:00Z,Cleveland Guardians,Kansas City Royals
717574,2023-06-29T19:37:00Z,New York Yankees,Oakland Athletics
717568,2023-06-29T19:40:00Z,Tampa Bay Rays,Arizona Diamondbacks
717560,2023-06-29T20:07:00Z,Chicago White Sox,Los Angeles Angels
717569,2023-06-29T22:10:00Z,Miami Marlins,Boston Red Sox
717564,2023-06-29T23:07:00Z,San Francisco Giants,Toronto Blue Jays
717565,2023-06-29T23:10:00Z,Milwaukee Brewers,New York Mets
717566,2023-06-29T23:15:00Z,Houston Astros,St. Louis Cardinals
717567,2023-06-30T00:05:00Z,Philadelphia Phillies,Chicago Cubs
717572,2023-06-30T00:40:00Z,Los Angeles Dodgers,Colorado Rockies
717559,2023-06-30T18:20:00Z,Cleveland Guardians,Chicago Cubs
717557,2023-06-30T21:10:00Z,San Diego Padres,Cincinnati Reds
717563,2023-06-30T22:05:00Z,Washington Nationals,Philadelphia Phillies
717561,2023-06-30T23:05:00Z,Minnesota Twins,Baltimore Orioles
717562,2023-06-30T23:05:00Z,Milwaukee Brewers,Pittsburgh Pirates
717555,2023-06-30T23:07:00Z,Boston Red Sox,Toronto Blue Jays
717556,2023-06-30T23:10:00Z,San Francisco Giants,New York Mets
717558,2023-06-30T23:20:00Z,Miami Marlins,Atlanta Braves
717554,2023-07-01T00:05:00Z,Houston Astros,Texas Rangers
717552,2023-07-01T00:10:00Z,Detroit Tigers,Colorado Rockies
717553,2023-07-01T00:10:00Z,Los Angeles Dodgers,Kansas City Royals
717550,2023-07-01T00:15:00Z,New York Yankees,St. Louis Cardinals
717549,2023-07-01T01:38:00Z,Arizona Diamondbacks,Los Angeles Angels
717551,2023-07-01T01:40:00Z,Chicago White Sox,Oakland Athletics
717548,2023-07-01T02:10:00Z,Tampa Bay Rays,Seattle Mariners
717539,2023-07-01T17:40:00Z,San Diego Padres,Cincinnati Reds
717545,2023-07-01T18:15:00Z,New York Yankees,St. Louis Cardinals
717547,2023-07-01T19:07:00Z,Boston Red Sox,Toronto Blue Jays
717542,2023-07-01T20:05:00Z,Houston Astros,Texas Rangers
717541,2023-07-01T20:05:00Z,Minnesota Twins,Baltimore Orioles
717543,2023-07-01T20:05:00Z,Washington Nationals,Philadelphia Phillies
717540,2023-07-01T20:05:00Z,Milwaukee Brewers,Pittsburgh Pirates
